CodigoUnico	Ruta	Descripcion
141020966	IMAGENES JAZZ\\DESESPLAST\\141020966.jpg	DESES PLAST JARRA GRIEGA 2LTS
11067400	IMAGENES JAZZ\\GEMPLAST\\10067400.jpeg	SILLON FAENZA BLANCO RESPALDO BLANCO
11067410	IMAGENES JAZZ\\GEMPLAST\\10067410.jpeg	SILLON FAENZA NEGRO RESPALDO BLANCO
102086	IMAGENES JAZZ\\AAVARIOS\\102086.jpg	RESIDUO VAIVEN METALICO 7.5LTS
210213541	IMAGENES JAZZ\\HUDSON\\VIDRIO\\210213541.jpg	HUDSON FUENTE RECTANG. 1.9Lts (29*17*5cm)
900900	IMAGENES JAZZ\\EMANUEL\\900900.jpg	VASO TERMICO DOBLE PARED CARA OSITO
129379390	IMAGENES JAZZ\\RIGOLLEAU\\129389390.jpg	RIGOLLEAU VASO TULUM 365ml
357007835	IMAGENES JAZZ\\KMG\\357007835.jpg	KUMA CAJONERA SOUL 3 CAJONES 37*37*59cm
184081457	IMAGENES JAZZ\\ARGOS\\GLOBO 15.jpg	GLOBO 9" FELIZ CUMPLE X15unid
551000806	IMAGENES JAZZ\\BERUPLAST\\MATES.jpeg	BERUPLAST MATE CON SACAYERBA
551012649	IMAGENES JAZZ\\BERUPLAST\\COMUN.jpg	BERUPLAST MACETA COMÚN 11
551012700	IMAGENES JAZZ\\BERUPLAST\\COMUN.jpg	BERUPLAST MACETA COMÚN 13
551012724	IMAGENES JAZZ\\BERUPLAST\\COMUN.jpg	BERUPLAST MACETA COMÚN 15
551002293	IMAGENES JAZZ\\BERUPLAST\\COMUN.jpg	BERUPLAST MACETA COMÚN 17
199109671	IMAGENES JAZZ\\STARCOMPANY\\199109671.jpeg	STAR VASO CLEAR 650ml ACRILICO C/ SORBETE
10023163300	IMAGENES JAZZ\\TRAMONTINA\\NEWKOLOR\\10023163300.jpg	TRAMONTINA NEW KOLOR Negro Cuchara X 3 Pz.
149150	IMAGENES JAZZ\\UKU\\149150.jpeg	UKU SILLA RATAN NEGRO
101T0376S	IMAGENES JAZZ\\LUMILAGRO\\101T0376S.jpg	LUMILAGRO TERMO LUMINOX 1LTS SELEC **
105635209	IMAGENES JAZZ\\CONDOR\\105635209.jpg	CONDOR CEPILLO CABELLO FASHION 6893
105635308	IMAGENES JAZZ\\CONDOR\\105635308.jpg	CONDOR CEPILLO CABELLO FASHION 6894
105687628	IMAGENES JAZZ\\CONDOR\\105687628.jpg	CONDOR CEPILLO CABELLO JOY MARLENE 6876
105687321	IMAGENES JAZZ\\CONDOR\\105687321.jpg	CONDOR CEPILLO CABELLO JOY ISA 6873
105654002	IMAGENES JAZZ\\CONDOR\\105654002.jpg	CONDOR CEPILLO CABELLO MEGATRENS 9695
105688724	IMAGENES JAZZ\\CONDOR\\105688724.jpg	CONDOR CEPILLO CABELLO JULIA 6887
105789308	IMAGENES JAZZ\\CONDOR\\105789308.jpg	CONDOR CEPILLO OVAL MADERA LIMPIAKI REF.18
187113	IMAGENES JAZZ\\NATIVO HOME\\LORI-13.jpg	VELADOR GANESHA 40cm
1201020	IMAGENES JAZZ\\GLAGO\\MAMADERAS\\1201020.jpg	POSA JABON REJILLA
164182	IMAGENES JAZZ\\JL\\164182.jpg	JL CUCHARITA FORMA HELADO
164781875	IMAGENES JAZZ\\JL\\164187.jpg	JL ENSALADERA 5000ml
210217310	IMAGENES JAZZ\\HUDSON\\PAVAS\\210217310.jpg	HUDSON SET MATE ACERO C/BOMBILLA COPA NEGRO
101T0376BE	IMAGENES JAZZ\\LUMILAGRO\\101T0376BE.jpg	LUMILAGRO TERMO LUMINOX 1lts BOCA ESCUDO
101T0376BB	IMAGENES JAZZ\\LUMILAGRO\\101T0376BB.jpg	LUMILAGRO TERMO LUMINOX 1L BOCA BOMBONERA
101T0376RE	IMAGENES JAZZ\\LUMILAGRO\\101T0376RE.jpg	LUMILAGRO TERMO LUMINOX 1lts RIBER ESCUDO
101T0376RC	IMAGENES JAZZ\\LUMILAGRO\\101T0376RC.jpg	LUMILAGRO TERMO LUMINOX 1lts RIBER CANCHA
000157318	IMAGENES JAZZ\\NAJAL\\000157318.jpg	NJ VASO MEDIDOR ONZAS ACERO
000115486	IMAGENES JAZZ\\NAJAL\\000115486.jpg	NJ MOLDE HELADOS SILICONA FORMA SANDIA
000115554	IMAGENES JAZZ\\NAJAL\\000115554.jpg	NJ MOLDE HELADO SILICONA FORMA CACTUS
1727515	IMAGENES JAZZ\\DILIT\\1727515.jpg	VH BOTELLA FASTER /OFF LINE 600ml TAPA FLIP
1727517	IMAGENES JAZZ\\DILIT\\1727517.jpg	VH BOTELLA VIP 600ml TAPA FLIP
141034116	IMAGENES JAZZ\\DESESPLAST\\141034116.jpg	DESES CAJA ORGANIZADORA CHICA 11 DIVISIONES
044831553	IMAGENES JAZZ\\ATOM\\044831553.jpg	ATOM JARRA TERMICA LEGEND 2.5LTS
101T0376SEL	IMAGENES JAZZ\\LUMILAGRO\\101T0376SEL.jpeg	LUMILAGRO TERMO LUMINOX 1LTS SELEC ***
172794419	IMAGENES JAZZ\\DILIT\\TITIZ\\172794419.jpg	TITIZ UTENSILLO BATIDOR NYLON
172794389	IMAGENES JAZZ\\DILIT\\TITIZ\\172794389.jpg	TITIZ UTENSILLO ESPUMADERA NYLON
172794426	IMAGENES JAZZ\\DILIT\\TITIZ\\172794426.jpg	TITIZ UTENSILLO PISA PAPAS NYLON
172794358	IMAGENES JAZZ\\DILIT\\TITIZ\\172794358.jpg	TITIZ UTENSILLO ESPATULA NYLON
172794396	IMAGENES JAZZ\\DILIT\\TITIZ\\172794396.jpg	TITIZ UTENSILLO CUCHARA NYLON
172794365	IMAGENES JAZZ\\DILIT\\TITIZ\\172794365.jpg	TITIZ UTENSILLO CUCHARON NYLON
172096261	IMAGENES JAZZ\\DILIT\\BAGER\\172096261.jpg	BAGER SET HERMETICOS CUADRADOS 3X250ml
172231558	IMAGENES JAZZ\\DILIT\\172231558.jpg	VH SET HERMETICOS CUADRADOS X5
172155501	IMAGENES JAZZ\\DILIT\\172155501.jpg	VH SET HERMETICOS REDONDOS X5
172096438	IMAGENES JAZZ\\DILIT\\BAGER\\172096438.jpg	BAGER SET HERMETICOS RECTANG. 2 X 3000ml
172096452	IMAGENES JAZZ\\DILIT\\BAGER\\172096452.jpg	BAGER SET HERMETICOS CUADRADOS 2 X 2500ml
172171501	IMAGENES JAZZ\\DILIT\\172171501.jpeg	SET CONTENEDORES RECTANGULARES  X5
571657669	IMAGENES JAZZ\\CMPO\\571657669.jpg	MALETIN ORGANIZADOR 11 DIV. LINEA FERRET
571657713	IMAGENES JAZZ\\CMPO\\751657713.jpg	MALETIN ORGANIZADOR 11 DIV. LINEA HOGAR
571657676	IMAGENES JAZZ\\CMPO\\751657676.jpg	MALETIN ORGANIZADOR 11 DIV. LINEA P. AUXILIOS
571657652	IMAGENES JAZZ\\CMPO\\571657652.jpg	MALETIN ORGANIZADOR 11 DIV. LINEA CRISTAL
571657737	IMAGENES JAZZ\\CMPO\\571657737.jpg	MALETIN ORGANIZADOR 23 DIV. LINEA HOGAR
571657584	IMAGENES JAZZ\\CMPO\\571357584.jpg	MALETIN ORGANIZADOR 23 DIV. LINEA CRISTAL
571657591	IMAGENES JAZZ\\CMPO\\571567591.jpg	MALETIN ORGANIZADOR 23 DIV. LINEA FERRETER
571657607	IMAGENES JAZZ\\CMPO\\571657607.jpg	MALETIN ORGANIZADOR 23 DIV. LINEA P. AUXILIOS
0986002	IMAGENES JAZZ\\KOVALPLAST\\0986002.jpg	CUCHILLO 16cm PS BLANCO X 50pz
10078514000	IMAGENES JAZZ\\TRAMONTINA\\JARDIN\\10078514000.jpg	TRAMONTINA Boquilla para Manguera 1/2" Sal.Reg.
011133180	IMAGENES JAZZ\\ENCANTA\\011133180.jpg	CILLE TIJERA MULTIUSO 14cm
36047	IMAGENES JAZZ\\NATIVO HOME\\36047.jpg	MATE ACERO INOX. 180ml BASE SILICONA 36047
36039	IMAGENES JAZZ\\NATIVO HOME\\36039.jpg	MATE ACERO INOXIDABLE 140ml
127961216	IMAGENES JAZZ\\NATIVO HOME\\91570.jpg	AFILADOR DE CUCHILLOS CON AGARRE
373	IMAGENES JAZZ\\AAVARIOS\\om.jpg	VENTILADOR INDUSTRIAL 18" PALETA ALUM.
101T285	IMAGENES JAZZ\\LUMILAGRO\\101T285.jpg	LUMILAGRO TERMO ACONCAGUA 1LTS
